contextual_richness,spatial_coherence,functional_plausibility
ccm4 > noccm3,ccm4 > noccm3,ccm4 > noccm3
ccm2 = noccm2,ccm2 > noccm2,ccm2 > noccm2
noccm4 > ccm3,noccm4 = ccm3,noccm4 = ccm3
noccm5 > ccm3,noccm5 > ccm3,noccm5 > ccm3
noccm2 > ccm3,ccm3 > noccm2,noccm2 = ccm3
noccm2 = ccm2,noccm2 = ccm2,noccm2 = ccm2
noccm4 = ccm2,ccm2 > noccm4,ccm2 > noccm4
noccm4 = ccm1,noccm4 = ccm1,ccm1 > noccm4
ccm3 > noccm2,ccm3 > noccm2,ccm3 > noccm2
noccm4 > ccm1,ccm1 > noccm4,ccm1 > noccm4
noccm5 > ccm2,ccm2 > noccm5,noccm5 > ccm2
ccm1 > noccm3,ccm1 > noccm3,ccm1 > noccm3
noccm2 > ccm3,noccm2 > ccm3,noccm2 > ccm3
noccm5 = ccm2,noccm5 = ccm2,noccm5 = ccm2
noccm1 > ccm5,ccm5 > noccm1,ccm5 > noccm1
noccm1 = ccm2,ccm2 > noccm1,ccm2 > noccm1
ccm4 > noccm1,noccm1 > ccm4,ccm4 > noccm1
ccm5 > noccm3,ccm5 > noccm3,ccm5 > noccm3
ccm1 > noccm4,ccm1 > noccm4,ccm1 > noccm4
ccm4 > noccm5,ccm4 > noccm5,ccm4 > noccm5
noccm5 > ccm2,noccm5 = ccm2,noccm5 = ccm2
ccm4 = noccm2,ccm4 > noccm2,ccm4 > noccm2
noccm1 > ccm5,ccm5 > noccm1,ccm5 > noccm1
noccm5 > ccm4,ccm4 > noccm5,ccm4 > noccm5
ccm1 > noccm2,noccm2 > ccm1,ccm1 = noccm2
noccm2 > ccm2,ccm2 > noccm2,ccm2 > noccm2
ccm1 > noccm5,ccm1 > noccm5,ccm1 > noccm5
noccm1 > ccm5,ccm5 > noccm1,ccm5 > noccm1
ccm4 > noccm4,ccm4 > noccm4,ccm4 > noccm4
ccm4 > noccm2,ccm4 > noccm2,ccm4 > noccm2
ccm1 > noccm1,ccm1 > noccm1,ccm1 > noccm1
ccm1 > noccm3,ccm1 > noccm3,ccm1 > noccm3
ccm2 > noccm2,noccm2 > ccm2,noccm2 > ccm2
noccm4 > ccm2,noccm4 > ccm2,noccm4 > ccm2
noccm4 > ccm3,ccm3 > noccm4,ccm3 > noccm4
noccm4 > ccm1,ccm1 > noccm4,ccm1 > noccm4
ccm1 > noccm4,ccm1 > noccm4,ccm1 > noccm4
ccm5 = noccm2,noccm2 > ccm5,ccm5 > noccm2
noccm1 > ccm2,noccm1 > ccm2,noccm1 = ccm2
noccm5 > ccm4,ccm4 > noccm5,ccm4 = noccm5
ccm2 = noccm2,ccm2 > noccm2,ccm2 > noccm2
noccm5 > ccm2,noccm5 = ccm2,noccm5 = ccm2
noccm4 > ccm1,ccm1 > noccm4,ccm1 > noccm4
noccm2 > ccm5,ccm5 > noccm2,noccm2 > ccm5
ccm5 = noccm2,ccm5 > noccm2,ccm5 > noccm2
noccm2 = ccm2,ccm2 > noccm2,noccm2 = ccm2
noccm5 > ccm3,ccm3 = noccm5,noccm5 > ccm3
ccm1 > noccm3,ccm1 > noccm3,ccm1 = noccm3
ccm2 > noccm4,ccm2 > noccm4,noccm4 = ccm2
