steps,coffee_acquired,coffee_picked,coffee_bought,coffee_ordered
31,0,0,0,0
18,1,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
20,1,1,1,1
31,0,1,1,1
22,1,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,0,1,1
31,0,1,1,1
21,1,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
18,1,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
31,0,1,1,1
18,1,1,1,1
