steps,coffee_acquired,coffee_picked,coffee_bought,coffee_ordered
14,1,1,1,1
15,1,1,1,1
14,1,1,1,1
14,1,1,1,1
15,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
15,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
